id,remote_id,employee_payroll_run,amount,type,remote_was_deleted
fa9724ac-f812-4d99-8c12-a994e15ad570,63606114,3888d17b-094f-4fbe-b6e2-72de31e25b88,3321,SALARY,FALSE
72814e25-de95-4a77-981e-ef68444b4eb1,65473295,3888d17b-094f-4fbe-b6e2-72de31e25b88,1170,REIMBURSEMENT,FALSE
c846c39e-13a4-435f-8521-e9b13c71283c,66307740,0562335a-25b5-4bfd-bc1e-f3fe8bd70cd0,9833,BONUS,FALSE
b88ba3e8-da14-43ec-b1b9-a0c62719bf9b,41228692,0562335a-25b5-4bfd-bc1e-f3fe8bd70cd0,9209,SALARY,FALSE
7c43952e-77b5-47bd-81fe-01c940e02f7d,35886645,0562335a-25b5-4bfd-bc1e-f3fe8bd70cd0,5848,REIMBURSEMENT,FALSE
38bb3c6c-4daa-4bab-8d5d-f195ffb149fd,96640416,0562335a-25b5-4bfd-bc1e-f3fe8bd70cd0,1816,BONUS,FALSE
511ba0e3-9d92-43d9-93bd-dd51da777f00,91045766,0562335a-25b5-4bfd-bc1e-f3fe8bd70cd0,9173,OVERTIME,TRUE
e209401d-20ad-423b-a4f6-59605001e0a9,39667350,d7d4f172-c018-4db3-8cb9-d08f12b25322,8039,SALARY,FALSE
7dcfc35f-edfa-496e-b52b-b78b1a0dab7d,23741642,d7d4f172-c018-4db3-8cb9-d08f12b25322,6485,REIMBURSEMENT,TRUE
8993bbf4-bd08-4957-81b4-f54c054dbd06,47322825,d7d4f172-c018-4db3-8cb9-d08f12b25322,2199,BONUS,FALSE
df543adf-4c89-4c79-9a98-a83626455430,87957913,d7d4f172-c018-4db3-8cb9-d08f12b25322,8515,REIMBURSEMENT,TRUE
9b9fe9d6-5056-4109-8225-71f469b6a54f,64306446,8790b00f-e440-482a-b7fc-a3fb95c0d760,6433,SALARY,FALSE
0852083a-81f7-4f54-b002-55f04b263438,66429298,8790b00f-e440-482a-b7fc-a3fb95c0d760,9770,OVERTIME,TRUE
1c636d59-22b8-4063-b24e-7d44852942db,37435171,8790b00f-e440-482a-b7fc-a3fb95c0d760,1061,SALARY,FALSE
02734147-7099-4b9d-bd31-5f685d40aef5,52464553,7adc002c-5276-4ba7-b3ae-1a018d6abf0b,9696,REIMBURSEMENT,FALSE
