Question|SQL Query
What is the average number of failed payroll runs per employee?|SELECT COUNT(*) / COUNT(DISTINCT id) AS avg_failed_runs_per_employee FROM payrollrun WHERE run_state = 'FAILED'
How many payroll runs were marked as deleted remote employees?|SELECT COUNT(*) AS num_deleted_remote_runs FROM payrollrun WHERE remote_was_deleted = TRUE
How many payroll runs were of type 'SIGN_ON_BONUS'?|SELECT COUNT(*) AS num_sign_on_bonus_runs FROM payrollrun WHERE run_type = 'SIGN_ON_BONUS'
What is the total count of remote employees?|SELECT COUNT(*) AS total_remote_employees FROM payrollrun WHERE remote_id IS NOT NULL
What is the total count of distinct remote employees with failed payroll runs?|SELECT COUNT(DISTINCT remote_id) AS num_distinct_remote_failed FROM payrollrun WHERE run_state = 'FAILED' AND remote_id IS NOT NULL
What is the total count of payroll runs that occurred on the same start and end dates?|SELECT COUNT(*) AS num_same_start_end_dates FROM payrollrun WHERE start_date = end_date
How many payroll runs were not approved?|SELECT COUNT(*) AS num_unapproved_runs FROM payrollrun WHERE run_state != 'APPROVED'
How many terminated employees had failed payroll runs?|SELECT COUNT(*) AS num_terminated_failed FROM payrollrun WHERE run_type = 'TERMINATION' AND run_state = 'FAILED'
How many payroll runs occurred on the check date?|SELECT COUNT(*) AS num_runs_on_check_date FROM payrollrun WHERE start_date = check_date
What is the total count of payroll runs that were marked as deleted remote employees?|SELECT COUNT(*) AS num_deleted_remote_runs FROM payrollrun WHERE remote_was_deleted = TRUE
What is the earliest start date among the payroll runs?|SELECT MIN(start_date) AS earliest_start_date FROM payrollrun
What is the percentage of deleted remote employees?|SELECT (COUNT(*) / (SELECT COUNT(*) FROM payrollrun WHERE remote_id IS NOT NULL)) * 100 AS deleted_remote_percentage FROM payrollrun WHERE remote_was_deleted = TRUE
How many payroll runs had the run state of 'FAILED' and the run type of 'CORRECTION'?|SELECT COUNT(*) AS num_failed_correction_runs FROM payrollrun WHERE run_state = 'FAILED' AND run_type = 'CORRECTION'
How many payroll runs were approved?|SELECT COUNT(*) AS num_approved_runs FROM payrollrun WHERE run_state = 'APPROVED'
What is the total count of distinct remote employees with approved payroll runs?|SELECT COUNT(DISTINCT remote_id) AS num_distinct_remote_approved FROM payrollrun WHERE run_state = 'APPROVED' AND remote_id IS NOT NULL
How many payroll runs were corrections for terminated employees?|SELECT COUNT(*) AS num_correction_runs_terminated FROM payrollrun WHERE run_type = 'CORRECTION' AND run_state = 'TERMINATION'
What is the maximum number of remote employees in a single payroll run?|SELECT MAX(remote_id) AS max_remote_employees FROM payrollrun
What is the average number of payroll runs per employee?|SELECT COUNT(*) / COUNT(DISTINCT id) AS avg_runs_per_employee FROM payrollrun
